label,eye_distance,mouth_width,eyebrow_distance,eye_openness_left,eye_openness_right
angry,71.02112361825881,49.72926703662542,78.64477096412705,8.0,5.656854249492381
angry,67.468511173732,45.044422518220834,47.51841748206689,5.0990195135927845,4.0
angry,80.26207074328447,57.245087125446844,66.57326790837296,10.0,11.180339887498949
angry,76.94153624668537,58.463663928973865,69.72087205421343,10.0,11.40175425099138
angry,104.01922899156675,98.00510190801293,94.33981132056604,4.0,5.385164807134504
angry,92.0869154657707,64.1248781675256,83.38465086573187,16.1245154965971,15.033296378372908
angry,77.10382610480494,34.92849839314596,70.83078426785913,11.313708498984761,7.0710678118654755
angry,92.00543462209176,63.0,90.00555538409837,6.708203932499369,9.433981132056603
angry,100.0199980003999,62.12889826803627,90.0222194794152,14.317821063276353,14.7648230602334
angry,108.16653826391968,66.06814663663572,87.69264507357501,22.561028345356956,20.0
angry,52.49761899362675,32.57299494980466,46.17358552246078,2.23606797749979,7.0
angry,76.32168761236873,65.06919393998976,71.25307010929424,3.1622776601683795,1.4142135623730951
angry,59.841457201508724,33.734255586866,46.32493928760188,5.385164807134504,7.0
angry,103.58571330062848,63.0317380372777,84.8528137423857,9.486832980505138,7.615773105863909
angry,74.24284477308234,42.04759208325728,59.53990258641679,9.055385138137417,5.830951894845301
angry,96.33275663033837,83.02409288875127,90.0222194794152,6.4031242374328485,6.324555320336759
angry,59.21148537234985,37.05401462729781,53.23532661682466,1.0,5.0990195135927845
angry,111.87939935484101,67.36467917239716,92.5418824100742,17.0,13.038404810405298
angry,54.230987451824994,40.496913462633174,47.12748667179272,5.385164807134504,3.1622776601683795
angry,55.90169943749474,40.01249804748511,44.384682042344295,7.0,6.324555320336759
angry,80.00624975587844,70.02856560004639,67.47592163134935,14.035668847618199,9.219544457292887
angry,109.0,69.18092222571191,84.17244204607586,15.811388300841896,7.810249675906654
angry,123.1990259701756,71.02816342831905,104.39348638684312,18.439088914585774,16.15549442140351
angry,91.7877987534291,57.3149195236284,83.3606621854697,14.142135623730951,11.704699910719626
angry,70.25667228100119,58.077534382926416,60.40695324215582,7.211102550927978,8.54400374531753
angry,88.2779700718135,50.15974481593781,82.60750571225353,12.083045973594572,17.72004514666935
angry,98.71676655968832,64.5600495662759,80.36168241145776,15.652475842498529,19.026297590440446
angry,108.11567878897121,103.01941564578979,106.07544484940895,17.88854381999832,18.973665961010276
angry,100.16985574512923,77.87810988975015,84.40379138403677,7.0,8.06225774829855
angry,25.0,14.142135623730951,23.08679276123039,2.8284271247461903,2.0
angry,121.26417442921878,75.02666192761077,105.38500842150178,11.704699910719626,13.341664064126334
angry,74.96665925596525,51.35172830587107,63.953107821277925,11.0,10.198039027185569
angry,75.16648189186454,45.27692569068709,68.18357573492314,5.656854249492381,8.54400374531753
angry,88.68483523128404,65.06919393998976,77.00649323271382,9.219544457292887,10.198039027185569
angry,98.35141076771599,72.61542535852834,83.93449827097318,14.560219778561036,17.08800749063506
angry,53.46026561849464,38.118237105091836,36.22154055254967,9.055385138137417,5.385164807134504
angry,83.74365647617735,44.40720662234904,73.16419889536138,7.0710678118654755,7.615773105863909
angry,79.00632886041473,59.033888572581766,63.0317380372777,14.142135623730951,12.041594578792296
angry,118.1397477566293,86.40023148117139,102.7861858422619,23.194827009486403,20.808652046684813
angry,97.18538984847466,72.02777242147643,90.27181176868004,17.46424919657298,17.26267650163207
angry,104.6900186264192,83.48652585896721,96.42095207992918,18.439088914585774,17.0
angry,84.00595217006948,72.02777242147643,69.00724599634447,12.36931687685298,11.180339887498949
angry,104.08650248711405,64.28063471995279,92.07062506576133,20.8806130178211,18.027756377319946
angry,94.54099639838793,65.79513659838392,79.12016177940993,13.892443989449804,14.317821063276353
angry,98.00510190801293,70.02856560004639,81.00617260431454,8.06225774829855,10.04987562112089
angry,107.46627377926528,59.413803110051795,106.16967551989597,12.083045973594572,13.92838827718412
angry,94.5568612000208,67.05221845696084,81.32035415564789,16.278820596099706,15.811388300841896
angry,79.02531240052139,44.01136216933077,67.0,8.06225774829855,6.708203932499369
angry,125.00399993600205,78.05767098754612,95.00526301210897,2.23606797749979,5.0
